Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Colour,Seats,No. of Doors,Price,Mileage_value,Mileage_unit,Engine_value,Engine_unit,Power_value,Power_unit,Company_Name,Model_Name
Volkswagen Vento,Mumbai,2011.0,45000.0,Petrol,Automatic,First,White,5.0,4.0,3.35,14.4,kmpl,1598.0,CC,103.6,bhp,Volkswagen,Vento
Audi Q3,Jaipur,2014.0,65000.0,Diesel,Automatic,Second,White,5.0,4.0,21.5,15.73,kmpl,1968.0,CC,174.33,bhp,Audi,Q3
Mahindra XUV500,Kochi,2013.0,61591.0,Diesel,Manual,First,Others,7.0,5.0,6.82,16.0,kmpl,2179.0,CC,140.0,bhp,Mahindra,XUV500
Honda City,Ahmedabad,2014.0,49000.0,Petrol,Manual,First,White,5.0,4.0,6.9,17.4,kmpl,1497.0,CC,117.3,bhp,Honda,City
Ford Endeavour,Hyderabad,2016.0,68000.0,Diesel,Automatic,First,Black/Silver,7.0,5.0,29.5,10.91,kmpl,3198.0,CC,197.0,bhp,Ford,Endeavour
Hyundai Xcent,Mumbai,2014.0,7400.0,Petrol,Manual,First,White,5.0,4.0,4.35,19.1,kmpl,1197.0,CC,82.0,bhp,Hyundai,Xcent
Maruti Alto,Kochi,2016.0,34267.0,Petrol,Manual,First,Others,5.0,4.0,3.74,22.74,kmpl,796.0,CC,47.3,bhp,Maruti,Alto
Tata Tiago,Chennai,2016.0,5400.0,Petrol,Manual,First,Black/Silver,5.0,4.0,3.98,23.84,kmpl,1199.0,CC,84.0,bhp,Tata,Tiago
Maruti Swift,Mumbai,2009.0,60000.0,Petrol,Manual,First,Others,5.0,4.0,2.45,17.5,kmpl,1298.0,CC,85.8,bhp,Maruti,Swift
Tata Nano,Pune,2013.0,4700.0,Petrol,Manual,First,White,4.0,4.0,1.2,25.4,kmpl,624.0,CC,37.48,bhp,Tata,Nano
Mahindra XUV500,Mumbai,2015.0,55729.0,Diesel,Manual,First,White,7.0,5.0,9.65,15.1,kmpl,2179.0,CC,140.0,bhp,Mahindra,XUV500
Ford Endeavour,Mumbai,2007.0,116000.0,Diesel,Manual,Third,Others,7.0,5.0,3.75,10.9,kmpl,2499.0,CC,98.59,bhp,Ford,Endeavour
Hyundai EON,Ahmedabad,2015.0,20000.0,Petrol,Manual,First,White,5.0,4.0,2.66,21.1,kmpl,814.0,CC,55.2,bhp,Hyundai,EON
Maruti Wagon,Kolkata,2014.0,32000.0,Petrol,Manual,First,White,5.0,4.0,2.65,22.5,kmpl,998.0,CC,67.04,bhp,Maruti,Wagon
Mini Cooper,Coimbatore,2014.0,45535.0,Diesel,Automatic,First,Others,5.0,4.0,19.41,23.8,kmpl,1998.0,CC,112.0,bhp,Mini,Cooper
Ford EcoSport,Bangalore,2015.0,47037.0,Diesel,Manual,Second,Others,5.0,4.0,7.0,22.77,kmpl,1498.0,CC,98.59,bhp,Ford,EcoSport
BMW X5,Hyderabad,2015.0,69000.0,Diesel,Automatic,First,Others,5.0,4.0,54.0,15.97,kmpl,2993.0,CC,258.0,bhp,BMW,X5
Maruti Dzire,Hyderabad,2011.0,110000.0,Diesel,Manual,First,Others,5.0,4.0,4.0,28.4,kmpl,1248.0,CC,73.75,bhp,Maruti,Dzire
Hyundai Grand,Kolkata,2013.0,29000.0,Petrol,Manual,First,White,5.0,4.0,3.2,18.9,kmpl,1197.0,CC,82.0,bhp,Hyundai,Grand
Tata Indica,Chennai,2012.0,120000.0,Diesel,Manual,Second,Black/Silver,5.0,4.0,2.6,22.3,kmpl,1248.0,CC,74.0,bhp,Tata,Indica
Honda City,Kolkata,2011.0,45501.0,Petrol,Manual,First,Others,5.0,4.0,3.1,17.0,kmpl,1497.0,CC,118.0,bhp,Honda,City
Fiat Linea,Kolkata,2010.0,39852.0,Petrol,Manual,First,Black/Silver,5.0,4.0,1.59,16.0,kmpl,1368.0,CC,90.0,bhp,Fiat,Linea
Toyota Corolla,Coimbatore,2014.0,69918.0,Diesel,Manual,First,Others,5.0,4.0,9.43,21.43,kmpl,1364.0,CC,87.2,bhp,Toyota,Corolla
Maruti Ciaz,Kochi,2018.0,39023.0,Diesel,Manual,First,Others,5.0,4.0,9.48,28.09,kmpl,1248.0,CC,88.5,bhp,Maruti,Ciaz
Tata Zest,Hyderabad,2016.0,125000.0,Diesel,Manual,First,White,5.0,4.0,4.6,22.95,kmpl,1248.0,CC,74.0,bhp,Tata,Zest
Mahindra Scorpio,Pune,2013.0,105000.0,Diesel,Manual,Second,Others,8.0,5.0,7.0,12.05,kmpl,2179.0,CC,120.0,bhp,Mahindra,Scorpio
Nissan Sunny,Chennai,2016.0,18000.0,Petrol,Manual,First,Black/Silver,5.0,4.0,7.5,16.95,kmpl,1498.0,CC,97.7,bhp,Nissan,Sunny
Hyundai Grand,Delhi,2016.0,81605.0,Petrol,Manual,First,White,5.0,4.0,4.53,18.9,kmpl,1197.0,CC,82.0,bhp,Hyundai,Grand
Mercedes-Benz New,Coimbatore,2008.0,50135.0,Diesel,Manual,First,Black/Silver,5.0,4.0,10.36,15.8,kmpl,2148.0,CC,170.0,bhp,Mercedes-Benz,New
Land Rover Freelander,Mumbai,2012.0,34000.0,Diesel,Automatic,First,Others,5.0,4.0,19.25,12.39,kmpl,2179.0,CC,147.51,bhp,Land rover, Freelander
Honda Amaze,Kochi,2015.0,61691.0,Diesel,Manual,First,White,5.0,4.0,5.38,25.8,kmpl,1498.0,CC,98.6,bhp,Honda,Amaze
Chevrolet Optra,Chennai,2011.0,55000.0,Diesel,Manual,First,Black/Silver,5.0,4.0,3.95,16.52,kmpl,1991.0,CC,123.7,bhp,Chevrolet,Optra
Fiat Avventura,Mumbai,2015.0,32000.0,Diesel,Manual,First,Black/Silver,5.0,4.0,5.65,20.5,kmpl,1248.0,CC,91.72,bhp,Fiat,Avventura
Maruti Alto,Pune,2003.0,69966.0,Petrol,Manual,First,White,5.0,4.0,0.95,19.7,kmpl,796.0,CC,46.3,bhp,Maruti,Alto
Maruti Alto,Jaipur,2016.0,35000.0,Petrol,Manual,First,White,5.0,4.0,3.0,24.07,kmpl,998.0,CC,67.1,bhp,Maruti,Alto
Mahindra Xylo,Hyderabad,2015.0,169000.0,Diesel,Manual,First,White,7.0,5.0,5.0,14.95,kmpl,2489.0,CC,93.7,bhp,Mahindra,Xylo
Mini Cooper,Mumbai,2016.0,20000.0,Diesel,Automatic,First,White,4.0,4.0,23.5,20.7,kmpl,1496.0,CC,113.98,bhp,Mini,Cooper
Mahindra XUV500,Pune,2013.0,55000.0,Diesel,Manual,First,Others,7.0,5.0,8.5,15.1,kmpl,2179.0,CC,140.0,bhp,Mahindra,XUV500
Volkswagen Polo,Pune,2014.0,68865.0,Diesel,Manual,First,Black/Silver,5.0,4.0,4.8,15.11,kmpl,1598.0,CC,103.6,bhp,Volkswagen,Polo
Nissan Terrano,Hyderabad,2013.0,65280.0,Diesel,Manual,First,Others,5.0,4.0,5.8,19.87,kmpl,1461.0,CC,83.14,bhp,Nissan,Terrano
Maruti Ertiga,Chennai,2015.0,153000.0,Diesel,Manual,First,White,7.0,5.0,4.8,20.77,kmpl,1248.0,CC,88.76,bhp,Maruti,Ertiga
Maruti Wagon,Pune,2012.0,82000.0,Petrol,Manual,First,Black/Silver,5.0,4.0,2.3,18.9,kmpl,998.0,CC,67.1,bhp,Maruti,Wagon
Maruti Swift,Kochi,2017.0,42527.0,Petrol,Manual,First,Black/Silver,5.0,4.0,5.27,20.4,kmpl,1197.0,CC,81.8,bhp,Maruti,Swift
Volkswagen Vento,Chennai,2012.0,130000.0,Diesel,Manual,First,Black/Silver,5.0,4.0,4.75,20.54,kmpl,1598.0,CC,103.6,bhp,Volkswagen,Vento
Hyundai Creta,Hyderabad,2016.0,22982.0,Petrol,Automatic,First,Others,5.0,4.0,10.95,13.0,kmpl,1591.0,CC,121.3,bhp,Hyundai,Creta
Mahindra XUV500,Kochi,2014.0,70963.0,Diesel,Manual,First,Black/Silver,7.0,5.0,7.83,15.1,kmpl,2179.0,CC,140.0,bhp,Mahindra,XUV500
Tata Indigo,Ahmedabad,2013.0,31000.0,Diesel,Manual,First,Others,5.0,4.0,2.7,25.0,kmpl,1396.0,CC,69.01,bhp,Tata,Indigo
Mercedes-Benz New,Chennai,2014.0,25000.0,Diesel,Manual,First,White,5.0,4.0,26.0,15.8,kmpl,2148.0,CC,170.0,bhp,Mercedes-Benz,New
Hyundai i20,Mumbai,2010.0,52000.0,Petrol,Manual,First,Others,5.0,4.0,2.8,17.0,kmpl,1197.0,CC,80.0,bhp,Hyundai,i20
Audi A4,Bangalore,2013.0,88000.0,Diesel,Automatic,First,Black/Silver,5.0,4.0,16.25,17.11,kmpl,1968.0,CC,174.33,bhp,Audi,A4
Toyota Innova,Hyderabad,2017.0,35358.0,Diesel,Automatic,First,White,7.0,4.0,22.99,11.36,kmpl,2755.0,CC,171.5,bhp,Toyota,Innova
Audi Q7,Delhi,2014.0,58000.0,Diesel,Automatic,First,Others,7.0,5.0,32.0,12.07,kmpl,2967.0,CC,241.4,bhp,Audi,Q7
Renault Duster,Coimbatore,2017.0,30090.0,Diesel,Automatic,First,Black/Silver,5.0,4.0,11.44,19.6,kmpl,1461.0,CC,108.45,bhp,Renault,Duster
Volkswagen Polo,Coimbatore,2014.0,52951.0,Diesel,Manual,First,Black/Silver,5.0,4.0,5.65,20.14,kmpl,1498.0,CC,88.0,bhp,Volkswagen,Polo
Hyundai Verna,Chennai,2013.0,34620.0,Petrol,Manual,Second,Black/Silver,5.0,4.0,5.35,17.01,kmpl,1591.0,CC,121.3,bhp,Hyundai,Verna
Maruti Swift,Pune,2014.0,42000.0,Petrol,Manual,Second,Black/Silver,5.0,4.0,3.6,20.4,kmpl,1197.0,CC,81.8,bhp,Maruti,Swift
Mahindra Verito,Kochi,2012.0,118683.0,Diesel,Manual,Second,Others,5.0,4.0,3.19,21.0,kmpl,1461.0,CC,64.1,bhp,Mahindra,Verito
Mahindra XUV500,Delhi,2015.0,37000.0,Diesel,Manual,First,Black/Silver,7.0,5.0,9.3,15.1,kmpl,2179.0,CC,140.0,bhp,Mahindra,XUV500
Honda Jazz,Chennai,2011.0,46000.0,Petrol,Manual,First,White,5.0,4.0,4.5,18.2,kmpl,1199.0,CC,88.7,bhp,Honda,Jazz
Tata Indica,Pune,2012.0,65000.0,Diesel,Manual,First,Others,5.0,4.0,2.5,22.3,kmpl,1248.0,CC,74.0,bhp,Tata,Indica
Toyota Innova,Kolkata,2011.0,78088.0,Petrol,Manual,First,Black/Silver,8.0,5.0,6.3,12.4,kmpl,1998.0,CC,132.0,bhp,Toyota,Innova
Maruti Swift,Delhi,2014.0,56000.0,Diesel,Manual,First,Black/Silver,5.0,4.0,4.25,22.9,kmpl,1248.0,CC,74.0,bhp,Maruti,Swift
Mahindra Xylo,Coimbatore,2016.0,49176.0,Diesel,Manual,First,Others,8.0,5.0,7.46,11.68,kmpl,2498.0,CC,112.0,bhp,Mahindra,Xylo
Hyundai Grand,Chennai,2013.0,90000.0,Petrol,Manual,First,White,5.0,4.0,3.55,18.9,kmpl,1197.0,CC,82.0,bhp,Hyundai,Grand
Ford Figo,Kochi,2018.0,24237.0,Petrol,Manual,First,White,5.0,4.0,6.7,18.16,kmpl,1196.0,CC,86.8,bhp,Ford,Figo
Mercedes-Benz A,Delhi,2013.0,34000.0,Diesel,Automatic,Second,Others,5.0,4.0,11.0,20.0,kmpl,2143.0,CC,107.3,bhp,Mercedes-Benz,A
Volkswagen Polo,Hyderabad,2015.0,80000.0,Diesel,Manual,First,White,5.0,4.0,5.8,20.14,kmpl,1498.0,CC,88.8,bhp,Volkswagen,Polo
Maruti Ciaz,Mumbai,2015.0,51579.0,Petrol,Manual,First,Others,5.0,4.0,5.95,20.73,kmpl,1373.0,CC,91.1,bhp,Maruti,Ciaz
Honda City,Bangalore,2015.0,38000.0,Petrol,Manual,First,Black/Silver,5.0,4.0,7.8,17.4,kmpl,1497.0,CC,117.3,bhp,Honda,City
Honda City,Jaipur,2017.0,35000.0,Petrol,Automatic,First,Black/Silver,5.0,4.0,7.7,18.0,kmpl,1497.0,CC,117.3,bhp,Honda,City
Skoda Superb,Delhi,2013.0,82000.0,Petrol,Automatic,First,Others,5.0,4.0,7.25,13.7,kmpl,1798.0,CC,157.75,bhp,Skoda,Superb
Skoda Octavia,Ahmedabad,2015.0,71826.0,Diesel,Automatic,First,Others,5.0,4.0,15.5,19.3,kmpl,1968.0,CC,141.0,bhp,Skoda,Octavia
Ford Ikon,Chennai,2004.0,129000.0,Petrol,Manual,Third,White,5.0,4.0,1.5,13.8,kmpl,1299.0,CC,70.0,bhp,Ford,Ikon
Mahindra Scorpio,Bangalore,2014.0,87000.0,Diesel,Manual,First,Others,7.0,5.0,7.4,12.05,kmpl,2179.0,CC,120.0,bhp,Mahindra,Scorpio
Renault KWID,Kochi,2017.0,16542.0,Petrol,Manual,First,Others,5.0,4.0,3.3,25.17,kmpl,799.0,CC,53.3,bhp,Renault,KWID
Toyota Innova,Chennai,2005.0,240000.0,Diesel,Manual,Fourth & Above,Others,8.0,5.0,5.1,12.8,kmpl,2494.0,CC,102.0,bhp,Toyota,Innova
Maruti Swift,Delhi,2014.0,56510.0,Petrol,Manual,First,White,5.0,4.0,3.9,19.1,kmpl,1197.0,CC,85.8,bhp,Maruti,Swift
Hyundai i20,Kolkata,2011.0,37000.0,Diesel,Manual,First,Black/Silver,5.0,4.0,2.95,23.0,kmpl,1396.0,CC,90.0,bhp,Hyundai,i20
Hyundai Verna,Bangalore,2014.0,45000.0,Petrol,Manual,Second,White,5.0,4.0,6.75,17.01,kmpl,1591.0,CC,121.3,bhp,Hyundai,Verna
Maruti Swift,Pune,2012.0,75000.0,Diesel,Manual,First,White,5.0,4.0,4.35,22.9,kmpl,1248.0,CC,74.0,bhp,Maruti,Swift
Toyota Corolla,Delhi,2013.0,64000.0,Petrol,Manual,Second,White,5.0,4.0,5.2,14.53,kmpl,1798.0,CC,138.1,bhp,Toyota,Corolla
Hyundai Grand,Kolkata,2016.0,21000.0,Petrol,Manual,First,Others,5.0,4.0,3.75,18.9,kmpl,1197.0,CC,82.0,bhp,Hyundai,Grand
Maruti Swift,Hyderabad,2012.0,65097.0,Petrol,Manual,First,Others,5.0,4.0,4.7,19.1,kmpl,1197.0,CC,85.8,bhp,Maruti,Swift
Maruti Swift,Kolkata,2013.0,115195.0,Diesel,Manual,First,White,5.0,4.0,3.85,25.2,kmpl,1248.0,CC,74.0,bhp,Maruti,Swift
Toyota Innova,Hyderabad,2013.0,83165.0,Diesel,Manual,First,Others,8.0,5.0,11.49,12.8,kmpl,2494.0,CC,102.0,bhp,Toyota,Innova
BMW 5,Ahmedabad,2010.0,46000.0,Diesel,Automatic,First,White,5.0,4.0,16.5,22.48,kmpl,1995.0,CC,190.0,bhp,BMW,5
Toyota Innova,Chennai,2014.0,194000.0,Diesel,Manual,First,Black/Silver,8.0,5.0,10.5,12.99,kmpl,2494.0,CC,100.6,bhp,Toyota,Innova
Hyundai Verna,Chennai,2006.0,200000.0,Diesel,Manual,Second,White,5.0,4.0,1.85,16.8,kmpl,1493.0,CC,110.0,bhp,Hyundai,Verna
Mercedes-Benz E-Class,Pune,2012.0,100000.0,Petrol,Automatic,First,Others,5.0,4.0,11.5,10.0,kmpl,2496.0,CC,157.7,bhp,Mercedes-Benz,E-Class
Skoda Laura,Coimbatore,2014.0,85071.0,Diesel,Automatic,First,Black/Silver,5.0,4.0,9.75,20.0,kmpl,1968.0,CC,138.1,bhp,Skoda,Laura
Skoda Superb,Hyderabad,2010.0,54000.0,Petrol,Automatic,First,Black/Silver,5.0,4.0,6.0,0.0,kmpl,3597.0,CC,262.6,bhp,Skoda,Superb
BMW 5,Coimbatore,2011.0,51602.0,Diesel,Automatic,First,Black/Silver,5.0,4.0,17.27,22.48,kmpl,1995.0,CC,190.0,bhp,BMW,5
Honda Jazz,Kochi,2017.0,36973.0,Petrol,Manual,First,Others,5.0,4.0,6.8,18.2,kmpl,1199.0,CC,88.7,bhp,Honda,Jazz
Maruti Eeco,Delhi,2016.0,126000.0,Petrol,Manual,First,Black/Silver,7.0,5.0,2.2,15.1,kmpl,1196.0,CC,73.0,bhp,Maruti,Eeco
Honda City,Mumbai,2007.0,75000.0,Petrol,Manual,Second,White,5.0,4.0,1.49,17.7,kmpl,1497.0,CC,78.0,bhp,Honda,City
Maruti SX4,Delhi,2012.0,82069.0,CNG,Manual,First,Others,5.0,4.0,2.65,21.4,km/kg,1586.0,CC,103.3,bhp,Maruti,SX4
Toyota Innova,Chennai,2012.0,96000.0,Diesel,Manual,First,Others,7.0,4.0,11.5,12.99,kmpl,2494.0,CC,100.0,bhp,Toyota,Innova
Maruti Swift,Pune,2015.0,131000.0,Diesel,Manual,First,Black/Silver,5.0,4.0,3.6,26.59,kmpl,1248.0,CC,74.0,bhp,Maruti,Swift
Maruti Swift,Jaipur,2015.0,68310.0,Diesel,Manual,First,Others,5.0,4.0,5.95,23.4,kmpl,1248.0,CC,74.0,bhp,Maruti,Swift
Toyota Fortuner,Jaipur,2015.0,100000.0,Diesel,Automatic,First,White,7.0,5.0,19.0,12.55,kmpl,2982.0,CC,168.5,bhp,Toyota,Fortuner
Chevrolet Beat,Kochi,2012.0,32717.0,Petrol,Manual,First,Others,5.0,4.0,2.55,18.6,kmpl,1199.0,CC,79.4,bhp,Chevrolet,Beat
Jeep Compass,Coimbatore,2018.0,33218.0,Diesel,Manual,First,Others,5.0,4.0,19.05,17.1,kmpl,1956.0,CC,170.0,bhp,Jeep,Compass
Hyundai i10,Kolkata,2007.0,71600.0,Petrol,Manual,Second,White,5.0,4.0,2.0,20.36,kmpl,1197.0,CC,78.9,bhp,Hyundai,i10
Toyota Fortuner,Hyderabad,2016.0,55547.0,Diesel,Automatic,First,Others,7.0,5.0,24.99,12.55,kmpl,2982.0,CC,168.5,bhp,Toyota,Fortuner
Toyota Corolla,Kolkata,2018.0,5000.0,Petrol,Automatic,First,White,5.0,4.0,16.95,14.28,kmpl,1798.0,CC,138.03,bhp,Toyota,Corolla
Skoda Superb,Delhi,2014.0,38000.0,Petrol,Automatic,First,Others,5.0,4.0,11.6,13.7,kmpl,1798.0,CC,157.75,bhp,Skoda,Superb
Mahindra Scorpio,Pune,2014.0,87200.0,Diesel,Manual,First,Black/Silver,7.0,5.0,7.75,15.4,kmpl,2523.0,CC,75.0,bhp,Mahindra,Scorpio
Land Rover Freelander,Chennai,2011.0,109000.0,Diesel,Automatic,First,White,5.0,4.0,16.5,12.39,kmpl,2179.0,CC,147.51,bhp,Land rover, Freelander
Mercedes-Benz CLS-Class,Hyderabad,2010.0,29000.0,Diesel,Automatic,First,Others,4.0,4.0,32.0,9.9,kmpl,3498.0,CC,271.72,bhp,Mercedes-Benz,CLS-Class
Hyundai Verna,Chennai,2012.0,92000.0,Diesel,Manual,Third,White,5.0,4.0,4.0,22.32,kmpl,1582.0,CC,126.32,bhp,Hyundai,Verna
BMW 5,Delhi,2006.0,48000.0,Petrol,Automatic,Second,Others,5.0,4.0,6.99,11.62,kmpl,2979.0,CC,306.0,bhp,BMW,5
Maruti Ertiga,Kochi,2015.0,58734.0,Diesel,Manual,First,Black/Silver,7.0,5.0,6.91,20.77,kmpl,1248.0,CC,88.76,bhp,Maruti,Ertiga
Tata Indigo,Pune,2015.0,83000.0,Petrol,Manual,First,Others,5.0,4.0,2.7,15.64,kmpl,1193.0,CC,64.08,bhp,Tata,Indigo
Hyundai Grand,Kolkata,2017.0,14000.0,Diesel,Manual,First,Black/Silver,5.0,4.0,4.9,24.0,kmpl,1186.0,CC,73.97,bhp,Hyundai,Grand
Land Rover Freelander,Pune,2014.0,85000.0,Diesel,Automatic,Second,Others,5.0,4.0,23.0,12.39,kmpl,2179.0,CC,147.51,bhp,Land rover, Freelander
Hyundai Verna,Kochi,2018.0,33858.0,Petrol,Automatic,First,Black/Silver,5.0,4.0,9.03,17.01,kmpl,1591.0,CC,121.3,bhp,Hyundai,Verna
Maruti Alto,Kochi,2017.0,27718.0,Petrol,Manual,First,Black/Silver,5.0,4.0,3.28,22.74,kmpl,796.0,CC,47.3,bhp,Maruti,Alto
Hyundai Xcent,Kochi,2016.0,48163.0,Petrol,Manual,First,Others,5.0,4.0,4.85,19.1,kmpl,1197.0,CC,82.0,bhp,Hyundai,Xcent
BMW 5,Hyderabad,2009.0,79000.0,Diesel,Automatic,First,White,5.0,4.0,15.0,18.48,kmpl,1995.0,CC,177.0,bhp,BMW,5
Honda Amaze,Kolkata,2013.0,40000.0,Petrol,Manual,First,White,5.0,4.0,2.9,18.0,kmpl,1198.0,CC,86.7,bhp,Honda,Amaze
Maruti Zen,Delhi,2007.0,64000.0,Petrol,Manual,First,White,5.0,4.0,1.11,18.2,kmpl,998.0,CC,67.1,bhp,Maruti,Zen
BMW X5,Bangalore,2009.0,90000.0,Diesel,Automatic,Second,White,5.0,4.0,17.75,11.0,kmpl,2993.0,CC,235.0,bhp,BMW,X5
Tata Indigo,Coimbatore,2013.0,59138.0,Diesel,Manual,First,Others,5.0,4.0,2.58,17.0,kmpl,1405.0,CC,70.0,bhp,Tata,Indigo
Maruti Swift,Kolkata,2014.0,45000.0,Petrol,Manual,First,Others,5.0,4.0,3.99,19.1,kmpl,1197.0,CC,85.8,bhp,Maruti,Swift
Hyundai Creta,Ahmedabad,2017.0,25000.0,Petrol,Automatic,First,White,5.0,4.0,12.75,13.0,kmpl,1591.0,CC,121.3,bhp,Hyundai,Creta
Maruti Ciaz,Chennai,2015.0,30000.0,Petrol,Manual,First,Others,5.0,4.0,6.7,20.73,kmpl,1373.0,CC,91.1,bhp,Maruti,Ciaz
Honda CR-V,Bangalore,2006.0,66000.0,Petrol,Automatic,Second,White,5.0,4.0,3.9,10.1,kmpl,2354.0,CC,152.0,bhp,Honda,CR-V
Ford Figo,Kolkata,2015.0,72035.0,Diesel,Manual,First,Others,5.0,4.0,2.5,25.5,kmpl,1498.0,CC,99.0,bhp,Ford,Figo
Toyota Innova,Pune,2014.0,160000.0,Diesel,Manual,First,White,8.0,5.0,12.0,12.99,kmpl,2494.0,CC,100.0,bhp,Toyota,Innova
Hyundai Creta,Delhi,2016.0,68000.0,Petrol,Manual,First,Black/Silver,5.0,4.0,9.85,15.29,kmpl,1591.0,CC,121.3,bhp,Hyundai,Creta
Maruti A-Star,Pune,2011.0,69000.0,Petrol,Manual,Second,White,5.0,4.0,1.95,19.0,kmpl,998.0,CC,66.1,bhp,Maruti,A-Star
Toyota Fortuner,Hyderabad,2018.0,39927.0,Diesel,Manual,First,Others,7.0,5.0,32.1,12.55,kmpl,2982.0,CC,168.5,bhp,Toyota,Fortuner
Maruti Ertiga,Coimbatore,2016.0,85827.0,Diesel,Manual,First,White,7.0,5.0,7.5,20.77,kmpl,1248.0,CC,88.76,bhp,Maruti,Ertiga
Toyota Fortuner,Coimbatore,2017.0,68319.0,Diesel,Automatic,First,Others,7.0,5.0,25.12,12.55,kmpl,2982.0,CC,168.5,bhp,Toyota,Fortuner
Maruti Wagon,Hyderabad,2007.0,65047.0,LPG,Manual,First,Others,5.0,4.0,1.95,17.3,km/kg,1061.0,CC,57.5,bhp,Maruti,Wagon
Honda Brio,Chennai,2013.0,58581.0,Petrol,Manual,First,Black/Silver,5.0,4.0,3.49,19.4,kmpl,1198.0,CC,86.8,bhp,Honda,Brio
Hyundai EON,Coimbatore,2015.0,31412.0,Petrol,Manual,First,White,5.0,4.0,3.42,21.1,kmpl,814.0,CC,55.2,bhp,Hyundai,EON
Hyundai i20,Delhi,2014.0,43900.0,Diesel,Manual,First,Others,5.0,4.0,6.75,22.54,kmpl,1396.0,CC,88.73,bhp,Hyundai,i20
Maruti Swift,Delhi,2010.0,72425.0,Petrol,Manual,Second,Black/Silver,5.0,4.0,2.45,17.5,kmpl,1197.0,CC,85.8,bhp,Maruti,Swift
Toyota Platinum,Hyderabad,2015.0,150000.0,Diesel,Manual,First,Others,5.0,4.0,6.0,23.59,kmpl,1364.0,CC,67.05,bhp,Toyota,Platinum
Skoda Fabia,Hyderabad,2010.0,66285.0,Diesel,Manual,First,White,5.0,4.0,3.0,19.5,kmpl,1199.0,CC,75.0,bhp,Skoda,Fabia
Audi A4,Coimbatore,2016.0,39237.0,Diesel,Automatic,First,White,5.0,4.0,25.64,17.11,kmpl,1968.0,CC,174.33,bhp,Audi,A4
Maruti Ertiga,Mumbai,2014.0,64000.0,Diesel,Manual,First,White,7.0,5.0,7.25,20.77,kmpl,1248.0,CC,88.8,bhp,Maruti,Ertiga
Honda Amaze,Hyderabad,2015.0,29000.0,Diesel,Manual,First,Others,5.0,4.0,5.99,27.4,kmpl,1498.0,CC,98.6,bhp,Honda,Amaze
Ford Ecosport,Kochi,2014.0,147898.0,Diesel,Manual,First,White,5.0,4.0,4.42,22.7,kmpl,1498.0,CC,89.84,bhp,Ford,Ecosport
Honda City,Hyderabad,2014.0,65000.0,Diesel,Manual,First,Black/Silver,5.0,4.0,6.99,26.0,kmpl,1498.0,CC,98.6,bhp,Honda,City
Hyundai i20,Delhi,2014.0,55000.0,Diesel,Manual,First,Black/Silver,5.0,4.0,5.64,22.54,kmpl,1396.0,CC,88.73,bhp,Hyundai,i20
Hyundai Grand,Pune,2016.0,25000.0,Petrol,Manual,First,Black/Silver,5.0,4.0,5.0,18.9,kmpl,1197.0,CC,82.0,bhp,Hyundai,Grand
Nissan Micra,Chennai,2013.0,89000.0,Petrol,Automatic,Second,Black/Silver,5.0,4.0,2.8,19.34,kmpl,1198.0,CC,76.0,bhp,Nissan,Micra
Ford Ecosport,Hyderabad,2014.0,56549.0,Diesel,Manual,First,White,5.0,4.0,7.2,22.7,kmpl,1498.0,CC,89.84,bhp,Ford,Ecosport
Maruti Ertiga,Kolkata,2012.0,38092.0,Diesel,Manual,First,Others,7.0,5.0,5.2,20.77,kmpl,1248.0,CC,88.8,bhp,Maruti,Ertiga
Honda Accord,Pune,2009.0,60000.0,Petrol,Manual,Second,White,5.0,4.0,3.5,9.8,kmpl,2354.0,CC,180.0,bhp,Honda,Accord
Tata Indica,Pune,2006.0,78000.0,Petrol,Manual,Second,Black/Silver,5.0,4.0,1.0,13.5,kmpl,1405.0,CC,60.0,bhp,Tata,Indica
Volkswagen Vento,Mumbai,2013.0,49105.0,Diesel,Manual,First,Black/Silver,5.0,4.0,4.4,20.34,kmpl,1498.0,CC,103.2,bhp,Volkswagen,Vento
Hyundai Creta,Chennai,2016.0,55000.0,Diesel,Automatic,First,Black/Silver,5.0,4.0,12.5,17.6,kmpl,1582.0,CC,126.2,bhp,Hyundai,Creta
Honda Brio,Delhi,2014.0,30000.0,Petrol,Manual,Second,White,5.0,4.0,3.2,19.4,kmpl,1198.0,CC,86.8,bhp,Honda,Brio
Hyundai i20,Delhi,2015.0,36000.0,Petrol,Manual,Second,Others,5.0,4.0,4.95,18.6,kmpl,1197.0,CC,81.83,bhp,Hyundai,i20
Renault KWID,Ahmedabad,2017.0,12000.0,Petrol,Automatic,Second,White,5.0,4.0,3.25,24.04,kmpl,999.0,CC,67.0,bhp,Renault,KWID
Honda Mobilio,Mumbai,2014.0,43081.0,Petrol,Manual,First,Others,7.0,5.0,5.25,17.3,kmpl,1497.0,CC,117.3,bhp,Honda,Mobilio
Maruti Wagon,Chennai,2010.0,134000.0,Petrol,Manual,Second,Black/Silver,5.0,4.0,1.65,18.9,kmpl,1061.0,CC,67.0,bhp,Maruti,Wagon
Chevrolet Beat,Kochi,2016.0,83629.0,Diesel,Manual,First,White,5.0,4.0,3.15,25.44,kmpl,936.0,CC,56.3,bhp,Chevrolet,Beat
